제목,상영일시,감독(들),배우(들),제작비(백만달러),상영시작시점,1~4주전 트윗 수,1주전 트윗 수,제작사,"흥행 수익(달러,미국만)",관객수(흥행수익/20달러(티켓값))
Jurassic World:Fallen Kingdom,2018/6/22,J.A. Bayona,Chris Pratt/Bryce Dallas Howard/Jeff Goldblum,170,2,2526,25897,Uni.,416769345,20838467
Deadpool 2,2018/5/18,David Leitch,Ryan Reynolds/Josh Brolin/Alan Tudyk/Brad Pitt*,110,2,15413,141608,Fox,318491426,15924571
Mission:Impossible - Fallout,2018/7/27,Christopher McQuarrie,Tom Cruise/Henry Cavill/Simon Pegg/Rebecca Ferguson/Angela Bassett/Michelle Monaghan/Alec Baldwin,178,3,1172,16673,Par.,220159104,11007955
A Quiet Place,2018/4/6,John Krasinski,Emily Blunt/John Krasinski,17,2,3025,16578,Par.,188024361,9401218
Crazy Rich Asians,2018/8/15,Jon Chu,Michelle Yeoh,30,3,1493,33380,WB,173291418,8664570
A Star is Born (2018),2018/10/5,Bradley Cooper,Bradley Cooper/Sam Elliott,36,4,680,1743,WB,170010388,8500519
Halloween (2018),2018/10/19,David Gordon Green,Jamie Lee Curtis,10,4,8068,57631,Uni.,152969845,7648492
The Meg,2018/8/10,Jon Turteltaub,Jason Statham,130,3,2046,17029,WB,143005856,7150292
Ocean's 8,2018/6/8,Gary Ross,Sandra Bullock/Cate Blanchett/Anne Hathaway/Rihanna/Helena Bonham Carter/Sarah Paulson/Mindy Kaling/Dakota Fanning,70,2,1006,15386,WB,139377762,6968888
Peter Rabbit,2018/2/9,Will Gluck,Daisy Ridley/Margot Robbie/Rose Byrne/Elizabeth Debicki,50,1,1236,9182,Sony,115253424,5762671
The Equalizer 2,2018/7/20,Antoine Fuqua,Denzel Washington,62,3,1290,3862,Sony,102084362,5104218
Fifty Shades Freed,2018/2/9,James Foley,Dakota Johnson/Kim Basinger,55,1,6166,38784,Uni.,100407760,5020388
Rampage (2018),2018/4/13,Brad Peyton,Dwayne Johnson/Naomie Harris,120,2,336,1130,WB (NL),99345950,4967297
I Can Only Imagine,2018/3/16,Andrew Erwin/Jon Erwin,Dennis Quaid,7,2,10180,31090,RAtt.,83482352,4174117
Night School (2018),2018/9/28,Malcolm D. Lee,Kevin Hart/Tiffany Haddish/Rob Riggle,29,4,460,1398,Uni.,74996745,3749837
