영화이름,상영일시,상영 시작 시점,감독,주연배우,상영 4주 전 ~ 상영 1주 전 트위터 건,상영 1주 전 ~ 상영 전 트위터 건,누적 관객 수
"세라비, 이것이 인생!", 2018.05.30,2,올리비에르 나카체,"장 피에르 바크리,질 를르슈,수잔 클레망,장 폴 루브,빈센트 맥케인",23,15,23193
세번째 밤, 2018.02.22,6,아담 그레블리,"제시 맥긴,로버트 하트번,부르스 대니",2111,28,60
스타 이즈 본, 2018.10.09,4,브래들리 쿠퍼,"브래들리 쿠퍼,레이디 가가,샘 엘리어트,데이브 샤펠,보니 소머빌",3126,10054,434534
시카리오: 데이 오브 솔다도, 2018.06.27,3,스테파노 솔리마,"조슈 브롤린,베니시오 델 토로,이사벨라 모너,제프리 도노반,캐서린 키너",7082,1507,229542
식구, 2018.07.12,3,임영훈,"신정근,윤박,장소연,고나희,기주봉",10191,10080,3816
신 전래동화, 2018.04.25,2,이상훈,"재희,윤기원,유다미,이상훈,김덕현",24,15,36
신과함께-인과 연, 2018.08.01,3,김용화,"하정우,주지훈,김향기,마동석,김동욱",10143,10067,12274021
아일라, 2018.06.21,3,잔 울카이,"김설,이스마일 하지오글루,세틴 테킨도르,알리 아타이,자니 영",10146,8608,43612
아직 끝나지 않았다, 2018.06.21,3,자비에 르그랑,"레아 드루케,드니 메노셰,토마 지오리아,마틸드 오느뵈,마튜 사이칼리",10181,10085,12433
가디언즈 오브 갤럭시 VOL. 2, 2017.05.03,2,제임스 건,"크리스 프랫,조 샐다나,데이브 바티스타,빈 디젤,브래들리 쿠퍼",6123,7218,2735960
가면 무도회, 2017.03.05,2,쥬세페 베르디,"주빈 메타,표트르 베찰라,게오르게 페테안,안야 하르테로스,오카 폰 데어 담라우",10200,7248,925
가을 우체국, 2017.10.19,4,임왕태,"보아,이학주,오광록,임현식,송옥숙",8164,5793,3099
가족사진, 2017.11.03,4,무카이 무네토시,"미츠무네 카오루,타카야마 미야코,류 다이스케",10200,10085,1
간츠: 오, 2017.05.11,2,사이토 케이이치,"오노 다이스케,하야미 사오리,이치미치 마오,카지 유우키,카쿠 토모히로",3085,34,1625
강철비, 2017.12.14,1,양우석,"정우성,곽도원,김갑수,김의성,이경영",10149,10080,4452755
개구리왕국 2, 2017.03.23,2,상광희,"사문영,이경태,임주현,홍진욱,윤세웅",12,14,14236
개에게 처음 이름을 지어준 날, 2017.04.06,2,야마다 아카네,"고바야시 사토미,카미카와 타카야,아오야마 미사토,이마무라 사오리",29,14,2008
걱정말아요, 2017.01.05,1,소준문,"정지순,이시후,권기하,박정근,박명신",10200,10080,774
걸 온 더 트레인, 2017.03.09,2,테이트 테일러,"에밀리 블런트,헤일리 베넷,루크 에반스,레베카 퍼거슨,저스틴 서룩스",2079,57,29011
겟 아웃, 2017.05.17,2,조던 필레,"다니엘 칼루야,앨리슨 윌리암스,브래드리 휘트포드,캐서린 키너,릴렐 호워리",10156,10080,2138425
고려 아리랑: 천산의 디바, 2017.05.25,2,김소영,"방 타마라,이함덕",1015,1499,4014
고령가 소년 살인사건, 2017.11.23,4,에드워드 양,"장첸,양정이,장 구주,금연령,왕 주안",54,1508,9402
고스트 스토리, 2017.12.28,1,데이빗 로워리,"케이시 애플렉,루니 마라,그로버 콜슨,윌 올드햄,리즈 프랭크",3119,1532,8416
고양이 케디, 2017.09.21,5,제다 토룬,뷜렌드 우스틴,2076,5794,7172
골드, 2017.03.22,2,스티븐 개건,"매튜 맥커너히,에드가 라미레즈,브라이스 달라스 하워드,마콘 블레어,아담 르페브리",10200,10078,25612
공각기동대 : 고스트 인 더 쉘, 2017.03.29,2,루퍼트 샌더스,"스칼렛 요한슨,마이클 피트,줄리엣 비노쉬,요한 필립 애스백,기타노 다케시",2092,5800,764072
공각기동대 신극장판, 2017.04.20,2,노무라 카즈야,"사카모토 마아야,쥬쿠 잇큐,마츠다 켄이치로,신가키 타루스케",38,1463,1376
"괜찮아요, 미스터 브래드", 2017.09.21,5,마이크 화이트,"벤 스틸러,오스틴 에이브람스,제나 피셔,마이클 쉰,저메인 클레멘트",7137,2919,17747
"구름의 저편, 약속의 장소", 2017.02.28,6,신카이 마코토,"하기와라 마사토,난리 유카,요시오카 히데타카",41,26,4583
구세주: 리턴즈, 2017.09.14,5,송창용,"최성국,송삼동,김성경,정이연,김보민",24,19,6151
국정교과서 516일: 끝나지 않은 역사전쟁, 2017.11.23,4,백승우,"한홍구,박한용,김민철,이준식,하일식",23,17,502
군함도, 2017.07.26,3,류승완,"황정민,소지섭,송중기,이정현,김수안",10181,10080,6592151
"귀향, 끝나지 않은 이야기", 2017.09.14,5,조정래,"강하나,최리,박지희,서미지,홍세나",1039,37,14495
"괜찮아요, 미스터 브래드", 2017.09.21,5,마이크 화이트,"벤 스틸러,오스틴 에이브람스,제나 피셔,마이클 쉰,저메인 클레멘트",7137,2919,17747
"구름의 저편, 약속의 장소", 2017.02.28,6,신카이 마코토,"하기와라 마사토,난리 유카,요시오카 히데타카",41,26,4583
구세주: 리턴즈, 2017.09.14,5,송창용,"최성국,송삼동,김성경,정이연,김보민",24,19,6151
국정교과서 516일: 끝나지 않은 역사전쟁, 2017.11.23,4,백승우,"한홍구,박한용,김민철,이준식,하일식",23,17,502
군함도, 2017.07.26,3,류승완,"황정민,소지섭,송중기,이정현,김수안",10181,10080,6592151
"귀향, 끝나지 않은 이야기", 2017.09.14,5,조정래,"강하나,최리,박지희,서미지,홍세나",1039,37,14495
나는 아들을 사랑하지 않는다, 2017.11.30,4,아릴드 안드레센,"크리스토퍼 요너,크리스토페르 베치,엘렌 도리트 페테르센,말론 모레노,마르셀라 카르바젤",20,21,1904
나를 찾아서, 2017.04.06,2,더스틴 마르첼리노,"블레이크 레인,레이 리오타,애슐리 쥬드,아만다 크루,조 판토리아노",1091,50,49
"나의 딸, 나의 누나", 2017.03.23,2,토마스 비더게인,"프랑소아 다미앙,피네건 올드필드,아가시 드론,엘로라 토르치아,존 C. 라일리",36,17,1729
나의 붉은 고래, 2017.06.15,3,양선,"계관림,소상경,허위주,금사걸,반숙난",5122,8661,58454
"나의 사랑, 그리스", 2017.04.20,2,크리스토퍼 파파칼리아티스,"J.K. 시몬스,크리스토퍼 파파칼리아티스,안드레아 오스바트,마리아 카보이아니,타우픽 바롬",3054,1465,30181
내 아내와 결혼해 주세요, 2017.05.18,2,미야케 요시시게,"오다 유지,요시다 요,하라다 타이조,다카시마 레이코,모리 칸나",11,12,2676
"내 어깨 위 고양이, 밥", 2017.01.04,1,로저 스포티스우드,"루크 트레더웨이,루타 게드민타스,조앤 프로갯,안소니 헤드,대런 에반스",66,48,26926
내 이름은 꾸제트, 2017.03.09,2,클로드 바라스,"가스파 츨라테르,시스틴 무하,폴린 자쿠우드,미셸 빌레모,라울 리베라",42,1479,10591
내 친구 정일우, 2017.10.26,4,김동원,"정일우,전주희,신명자,김동원,김의열",52,2921,12034
내가 죽기 전에 가장 듣고 싶은 말, 2017.07.19,3,마크 펠링톤,"셜리 맥클레인,아만다 사이프리드,앤쥴 리 딕슨,토머스 새도스키,앤 헤이시",38,13,45349
내게 남은 사랑을, 2017.11.02,4,진광교,"성지루,전미선,권소현,홍석,이예원",2101,7232,27986
내일의 안녕, 2017.08.17,3,훌리오 메뎀,"페넬로페 크루즈,루이스 토사,에시어 엑센디아,테오 플라넬,알렉스 브렌데뮬",60,31,8544
너브, 2017.01.11,1,헨리 유스트,"엠마 로버츠,데이브 프랭코,에밀리 미드,마일즈 헤이저,줄리엣 루이스",83,1515,29441
너와 100번째 사랑, 2017.05.25,2,츠키카와 쇼,"사카구치 켄타로,미와,류세이 료,마노 에리나,이즈미사와 유키",54,1493,80839
